,year,month,institution_name,population_felons,civil_addict,total_population,designed_capacity,percent_occupied,staffed_capacity,source_pdf_name
2170,2001,3,CTF (CORRECTIONAL TRAINING FAC),7094,0,7094,3281,216.2,7101,TPOP1Ad0103.pdf
2171,2001,3,CVSP (CHUCKAWALLA VALLEY SP),3664,0,3664,1738,210.8,3664,TPOP1Ad0103.pdf
2172,2001,3,SATF (CA SUBSTANCE ABUSE TREAT FAC),6135,13,6148,3324,185.0,6450,TPOP1Ad0103.pdf
2173,2001,3,"SOL (CA SP, SOLANO)",5837,0,5837,2610,223.6,5762,TPOP1Ad0103.pdf
2174,2001,3,SQ (SAN QUENTIN SP),5737,24,5761,3273,176.0,5533,TPOP1Ad0103.pdf
2175,2001,3,"SAC (CA SP, SACRAMENTO)",2942,0,2942,1728,170.3,3042,TPOP1Ad0103.pdf
2176,2001,3,"LAC (CA SP, LOS ANGELES COUNTY)",4072,0,4072,2200,185.1,4020,TPOP1Ad0103.pdf
2177,2001,3,"COR (CA SP, CORCORAN)",4889,0,4889,3016,162.1,4898,TPOP1Ad0103.pdf
2178,2001,3,CEN (CENTINELA SP),4456,0,4456,2208,201.8,4573,TPOP1Ad0103.pdf
2179,2001,3,CAL (CALIPATRIA SP),4185,0,4185,2208,189.5,4068,TPOP1Ad0103.pdf
2180,2001,3,"CRC (CAL REHAB CTR, MEN)",2712,1359,4071,1814,224.4,3952,TPOP1Ad0103.pdf
2181,2001,3,CMC (CA MEN'S COLONY),6706,0,6706,3884,172.7,6724,TPOP1Ad0103.pdf
2182,2001,3,CMF (CA MEDICAL FAC),3212,0,3212,2315,138.7,3401,TPOP1Ad0103.pdf
2183,2001,3,CIM (CA INSTITUTION FOR MEN),6137,33,6170,3078,200.5,6303,TPOP1Ad0103.pdf
2184,2001,3,CCI (CA CORRECTIONAL INSTITUTION),5487,0,5487,2781,197.3,5600,TPOP1Ad0103.pdf
2185,2001,3,CCC (CA CORRECTIONAL CENTER),5849,0,5849,3682,158.9,5642,TPOP1Ad0103.pdf
2186,2001,3,ASP (AVENAL SP),6937,0,6937,2920,237.6,6878,TPOP1Ad0103.pdf
2187,2001,4,VSP (VALLEY SP),3302,9,3311,1980,167.2,3324,TPOP1Ad0104.pdf
2188,2001,4,SCC (SIERRA CONSERVATION CENTER),325,0,325,320,101.6,320,TPOP1Ad0104.pdf
2189,2001,4,NCWF (NO CAL WOMEN'S FACIL),757,1,758,400,189.5,755,TPOP1Ad0104.pdf
2190,2001,4,CCWF (CENTRAL CA WOMEN'S FAC),3412,5,3417,2004,170.5,3386,TPOP1Ad0104.pdf
2191,2001,4,"CRC (CAL REHAB CTR, WOMEN)",266,404,670,500,134.0,751,TPOP1Ad0104.pdf
2192,2001,4,CIW (CA INSTITUTION FOR WOMEN),1799,13,1812,1026,176.6,1742,TPOP1Ad0104.pdf
2193,2001,4,WSP (WASCO SP),5723,19,5742,2984,192.4,5677,TPOP1Ad0104.pdf
2194,2001,4,SCC (SIERRA CONSERVATION CENTER),5979,0,5979,3606,165.8,5869,TPOP1Ad0104.pdf
2195,2001,4,SVSP (SALINAS VALLEY SP),4105,0,4105,2224,184.6,4156,TPOP1Ad0104.pdf
2196,2001,4,RJD (RJ DONOVAN CORRECTIONAL FAC),4653,0,4653,2200,211.5,4673,TPOP1Ad0104.pdf
2197,2001,4,PVSP (PLEASANT VALLEY SP),4651,0,4651,2208,210.6,4573,TPOP1Ad0104.pdf
2198,2001,4,PBSP (PELICAN BAY SP),3251,0,3251,2280,142.6,3384,TPOP1Ad0104.pdf
2199,2001,4,NKSP (NORTH KERN SP),5046,6,5052,2692,187.7,5089,TPOP1Ad0104.pdf
2200,2001,4,MCSP (MULE CREEK SP),3502,0,3502,1700,206.0,3537,TPOP1Ad0104.pdf
2201,2001,4,ISP (IRONWOOD SP),4566,0,4566,2200,207.5,4565,TPOP1Ad0104.pdf
2202,2001,4,HDSP (HIGH DESERT SP),4331,4,4335,2224,194.9,4310,TPOP1Ad0104.pdf
2203,2001,4,FOL (FOLSOM SP) (MALE),3841,0,3841,2072,185.4,3725,TPOP1Ad0104.pdf
2204,2001,4,DVI (DEUEL VOCATIONAL INSTITUTION),3843,9,3852,1787,215.6,3841,TPOP1Ad0104.pdf
2205,2001,4,CTF (CORRECTIONAL TRAINING FAC),6985,0,6985,3281,212.9,7101,TPOP1Ad0104.pdf
2206,2001,4,CVSP (CHUCKAWALLA VALLEY SP),3599,0,3599,1738,207.1,3664,TPOP1Ad0104.pdf
2207,2001,4,SATF (CA SUBSTANCE ABUSE TREAT FAC),6267,11,6278,3324,188.9,6450,TPOP1Ad0104.pdf
2208,2001,4,"SOL (CA SP, SOLANO)",5790,0,5790,2610,221.8,5852,TPOP1Ad0104.pdf
2209,2001,4,SQ (SAN QUENTIN SP),5595,14,5609,3273,171.4,5533,TPOP1Ad0104.pdf
2210,2001,4,"SAC (CA SP, SACRAMENTO)",2934,0,2934,1728,169.8,3042,TPOP1Ad0104.pdf
2211,2001,4,"LAC (CA SP, LOS ANGELES COUNTY)",4019,0,4019,2200,182.7,4020,TPOP1Ad0104.pdf
2212,2001,4,"COR (CA SP, CORCORAN)",4963,0,4963,3016,164.6,5019,TPOP1Ad0104.pdf
2213,2001,4,CEN (CENTINELA SP),4456,0,4456,2208,201.8,4573,TPOP1Ad0104.pdf
2214,2001,4,CAL (CALIPATRIA SP),4144,0,4144,2208,187.7,4068,TPOP1Ad0104.pdf
2215,2001,4,"CRC (CAL REHAB CTR, MEN)",2680,1363,4043,1814,222.9,3952,TPOP1Ad0104.pdf
2216,2001,4,CMC (CA MEN'S COLONY),6636,1,6637,3884,170.9,6724,TPOP1Ad0104.pdf
2217,2001,4,CMF (CA MEDICAL FAC),3294,0,3294,2315,142.3,3401,TPOP1Ad0104.pdf
2218,2001,4,CIM (CA INSTITUTION FOR MEN),6288,28,6316,3078,205.2,6303,TPOP1Ad0104.pdf
2219,2001,4,CCI (CA CORRECTIONAL INSTITUTION),5527,0,5527,2781,198.7,5600,TPOP1Ad0104.pdf
2220,2001,4,CCC (CA CORRECTIONAL CENTER),5936,0,5936,3682,161.2,5642,TPOP1Ad0104.pdf
2221,2001,4,ASP (AVENAL SP),6714,0,6714,2920,229.9,6978,TPOP1Ad0104.pdf
2222,2001,5,VSP (VALLEY SP),3269,2,3271,1980,165.2,3324,TPOP1Ad0105.pdf
2223,2001,5,SCC (SIERRA CONSERVATION CENTER),309,0,309,320,96.6,320,TPOP1Ad0105.pdf
2224,2001,5,NCWF (NO CAL WOMEN'S FACIL),768,1,769,400,192.3,755,TPOP1Ad0105.pdf
2225,2001,5,CCWF (CENTRAL CA WOMEN'S FAC),3302,4,3306,2004,165.0,3386,TPOP1Ad0105.pdf
2226,2001,5,"CRC (CAL REHAB CTR, WOMEN)",365,389,754,500,150.8,751,TPOP1Ad0105.pdf
2227,2001,5,CIW (CA INSTITUTION FOR WOMEN),1900,10,1910,1026,186.2,1742,TPOP1Ad0105.pdf
2228,2001,5,WSP (WASCO SP),5771,19,5790,2984,194.0,5797,TPOP1Ad0105.pdf
2229,2001,5,SCC (SIERRA CONSERVATION CENTER),5978,0,5978,3606,165.8,5869,TPOP1Ad0105.pdf
2230,2001,5,SVSP (SALINAS VALLEY SP),4138,0,4138,2224,186.1,4156,TPOP1Ad0105.pdf
2231,2001,5,RJD (RJ DONOVAN CORRECTIONAL FAC),4708,0,4708,2200,214.0,4673,TPOP1Ad0105.pdf
2232,2001,5,PVSP (PLEASANT VALLEY SP),4592,0,4592,2208,208.0,4573,TPOP1Ad0105.pdf
2233,2001,5,PBSP (PELICAN BAY SP),3300,0,3300,2280,144.7,3384,TPOP1Ad0105.pdf
2234,2001,5,NKSP (NORTH KERN SP),5003,8,5011,2692,186.1,5089,TPOP1Ad0105.pdf
2235,2001,5,MCSP (MULE CREEK SP),3493,0,3493,1700,205.5,3537,TPOP1Ad0105.pdf
2236,2001,5,ISP (IRONWOOD SP),4562,0,4562,2200,207.4,4565,TPOP1Ad0105.pdf
2237,2001,5,HDSP (HIGH DESERT SP),4326,2,4328,2224,194.6,4310,TPOP1Ad0105.pdf
2238,2001,5,FOL (FOLSOM SP) (MALE),3866,0,3866,2072,186.6,3725,TPOP1Ad0105.pdf
2239,2001,5,DVI (DEUEL VOCATIONAL INSTITUTION),3916,20,3936,1787,220.3,3941,TPOP1Ad0105.pdf
2240,2001,5,CTF (CORRECTIONAL TRAINING FAC),7009,0,7009,3281,213.6,7101,TPOP1Ad0105.pdf
2241,2001,5,CVSP (CHUCKAWALLA VALLEY SP),3587,0,3587,1738,206.4,3664,TPOP1Ad0105.pdf
2242,2001,5,SATF (CA SUBSTANCE ABUSE TREAT FAC),6339,11,6350,3324,191.0,6450,TPOP1Ad0105.pdf
2243,2001,5,"SOL (CA SP, SOLANO)",5816,0,5816,2610,222.8,5852,TPOP1Ad0105.pdf
2244,2001,5,SQ (SAN QUENTIN SP),5715,17,5732,3273,175.1,5533,TPOP1Ad0105.pdf
2245,2001,5,"SAC (CA SP, SACRAMENTO)",2904,0,2904,1728,168.1,3042,TPOP1Ad0105.pdf
2246,2001,5,"LAC (CA SP, LOS ANGELES COUNTY)",4105,0,4105,2200,186.6,4140,TPOP1Ad0105.pdf
2247,2001,5,"COR (CA SP, CORCORAN)",4985,0,4985,3016,165.3,5019,TPOP1Ad0105.pdf
2248,2001,5,CEN (CENTINELA SP),4460,0,4460,2208,202.0,4573,TPOP1Ad0105.pdf
2249,2001,5,CAL (CALIPATRIA SP),4162,0,4162,2208,188.5,4068,TPOP1Ad0105.pdf
2250,2001,5,"CRC (CAL REHAB CTR, MEN)",2698,1329,4027,1814,222.0,3952,TPOP1Ad0105.pdf
2251,2001,5,CMC (CA MEN'S COLONY),6723,0,6723,3884,173.1,6724,TPOP1Ad0105.pdf
2252,2001,5,CMF (CA MEDICAL FAC),3295,0,3295,2315,142.3,3401,TPOP1Ad0105.pdf
2253,2001,5,CIM (CA INSTITUTION FOR MEN),6257,23,6280,3078,204.0,6303,TPOP1Ad0105.pdf
2254,2001,5,CCI (CA CORRECTIONAL INSTITUTION),5594,0,5594,2781,201.2,5741,TPOP1Ad0105.pdf
2255,2001,5,CCC (CA CORRECTIONAL CENTER),5868,0,5868,3682,159.4,5642,TPOP1Ad0105.pdf
2256,2001,5,ASP (AVENAL SP),6846,0,6846,2920,234.5,6978,TPOP1Ad0105.pdf
2257,2001,6,VSP (VALLEY SP),3243,4,3247,1980,164.0,3324,TPOP1Ad0106.pdf
2258,2001,6,SCC (SIERRA CONSERVATION CENTER),314,0,314,320,98.1,320,TPOP1Ad0106.pdf
2259,2001,6,NCWF (NO CAL WOMEN'S FACIL),783,2,785,400,196.3,755,TPOP1Ad0106.pdf
2260,2001,6,CCWF (CENTRAL CA WOMEN'S FAC),3305,5,3310,2004,165.2,3386,TPOP1Ad0106.pdf
2261,2001,6,"CRC (CAL REHAB CTR, WOMEN)",443,379,822,500,164.4,751,TPOP1Ad0106.pdf
2262,2001,6,CIW (CA INSTITUTION FOR WOMEN),1768,10,1778,1026,173.3,1742,TPOP1Ad0106.pdf
2263,2001,6,WSP (WASCO SP),5852,21,5873,2984,196.8,5797,TPOP1Ad0106.pdf
2264,2001,6,SCC (SIERRA CONSERVATION CENTER),6055,0,6055,3606,167.9,5869,TPOP1Ad0106.pdf
2265,2001,6,SVSP (SALINAS VALLEY SP),4196,0,4196,2224,188.7,4156,TPOP1Ad0106.pdf
2266,2001,6,RJD (RJ DONOVAN CORRECTIONAL FAC),4526,0,4526,2200,205.7,4673,TPOP1Ad0106.pdf
2267,2001,6,PVSP (PLEASANT VALLEY SP),4642,0,4642,2208,210.2,4573,TPOP1Ad0106.pdf
2268,2001,6,PBSP (PELICAN BAY SP),3283,0,3283,2280,144.0,3384,TPOP1Ad0106.pdf
2269,2001,6,NKSP (NORTH KERN SP),5059,4,5063,2692,188.1,5089,TPOP1Ad0106.pdf
2270,2001,6,MCSP (MULE CREEK SP),3483,0,3483,1700,204.9,3537,TPOP1Ad0106.pdf
2271,2001,6,ISP (IRONWOOD SP),4625,0,4625,2200,210.2,4565,TPOP1Ad0106.pdf
2272,2001,6,HDSP (HIGH DESERT SP),4284,2,4286,2224,192.7,4310,TPOP1Ad0106.pdf
2273,2001,6,FOL (FOLSOM SP) (MALE),3837,0,3837,2072,185.2,3725,TPOP1Ad0106.pdf
2274,2001,6,DVI (DEUEL VOCATIONAL INSTITUTION),3811,14,3825,1787,214.0,3941,TPOP1Ad0106.pdf
2275,2001,6,CTF (CORRECTIONAL TRAINING FAC),7002,0,7002,3281,213.4,7101,TPOP1Ad0106.pdf
2276,2001,6,CVSP (CHUCKAWALLA VALLEY SP),3652,0,3652,1738,210.1,3664,TPOP1Ad0106.pdf
2277,2001,6,SATF (CA SUBSTANCE ABUSE TREAT FAC),6327,7,6334,3324,190.6,6450,TPOP1Ad0106.pdf
2278,2001,6,"SOL (CA SP, SOLANO)",5801,0,5801,2610,222.3,5852,TPOP1Ad0106.pdf
2279,2001,6,SQ (SAN QUENTIN SP),5583,12,5595,3273,170.9,5533,TPOP1Ad0106.pdf
2280,2001,6,"SAC (CA SP, SACRAMENTO)",2903,0,2903,1728,168.0,3042,TPOP1Ad0106.pdf
2281,2001,6,"LAC (CA SP, LOS ANGELES COUNTY)",4123,0,4123,2200,187.4,4140,TPOP1Ad0106.pdf
2282,2001,6,"COR (CA SP, CORCORAN)",4978,1,4979,3016,165.1,5019,TPOP1Ad0106.pdf
2283,2001,6,CEN (CENTINELA SP),4385,0,4385,2208,198.6,4573,TPOP1Ad0106.pdf
2284,2001,6,CAL (CALIPATRIA SP),4178,0,4178,2208,189.2,4068,TPOP1Ad0106.pdf
2285,2001,6,"CRC (CAL REHAB CTR, MEN)",2731,1281,4012,1814,221.2,3952,TPOP1Ad0106.pdf
2286,2001,6,CMC (CA MEN'S COLONY),6752,0,6752,3884,173.8,6724,TPOP1Ad0106.pdf
2287,2001,6,CMF (CA MEDICAL FAC),3278,0,3278,2315,141.6,3401,TPOP1Ad0106.pdf
2288,2001,6,CIM (CA INSTITUTION FOR MEN),6263,31,6294,3078,204.5,6303,TPOP1Ad0106.pdf
2289,2001,6,CCI (CA CORRECTIONAL INSTITUTION),5595,0,5595,2781,201.2,5741,TPOP1Ad0106.pdf
2290,2001,6,CCC (CA CORRECTIONAL CENTER),5809,0,5809,3682,157.8,5642,TPOP1Ad0106.pdf
2291,2001,6,ASP (AVENAL SP),6867,0,6867,2920,235.2,6978,TPOP1Ad0106.pdf
2292,2001,7,VSP (VALLEY SP),3185,7,3192,1980,161.2,3324,TPOP1Ad0107.pdf
2293,2001,7,SCC (SIERRA CONSERVATION CENTER),328,0,328,320,102.5,320,TPOP1Ad0107.pdf
2294,2001,7,NCWF (NO CAL WOMEN'S FACIL),734,0,734,400,183.5,755,TPOP1Ad0107.pdf
2295,2001,7,CCWF (CENTRAL CA WOMEN'S FAC),3142,5,3147,2004,157.0,3386,TPOP1Ad0107.pdf
2296,2001,7,"CRC (CAL REHAB CTR, WOMEN)",434,365,799,500,159.8,751,TPOP1Ad0107.pdf
2297,2001,7,CIW (CA INSTITUTION FOR WOMEN),1779,7,1786,1026,174.1,1742,TPOP1Ad0107.pdf
2298,2001,7,WSP (WASCO SP),5544,17,5561,2984,186.4,5797,TPOP1Ad0107.pdf
2299,2001,7,SCC (SIERRA CONSERVATION CENTER),5972,0,5972,3606,165.6,5869,TPOP1Ad0107.pdf
2300,2001,7,SVSP (SALINAS VALLEY SP),4223,0,4223,2224,189.9,4156,TPOP1Ad0107.pdf
2301,2001,7,RJD (RJ DONOVAN CORRECTIONAL FAC),4627,0,4627,2200,210.3,4673,TPOP1Ad0107.pdf
2302,2001,7,PVSP (PLEASANT VALLEY SP),4641,0,4641,2208,210.2,4573,TPOP1Ad0107.pdf
2303,2001,7,PBSP (PELICAN BAY SP),3366,0,3366,2280,147.6,3494,TPOP1Ad0107.pdf
2304,2001,7,NKSP (NORTH KERN SP),4917,3,4920,2692,182.8,5089,TPOP1Ad0107.pdf
2305,2001,7,MCSP (MULE CREEK SP),3493,0,3493,1700,205.5,3697,TPOP1Ad0107.pdf
2306,2001,7,ISP (IRONWOOD SP),4599,0,4599,2200,209.0,4565,TPOP1Ad0107.pdf
2307,2001,7,HDSP (HIGH DESERT SP),4256,3,4259,2224,191.5,4310,TPOP1Ad0107.pdf
2308,2001,7,FOL (FOLSOM SP) (MALE),3819,0,3819,2072,184.3,3725,TPOP1Ad0107.pdf
2309,2001,7,DVI (DEUEL VOCATIONAL INSTITUTION),3811,18,3829,1787,214.3,3941,TPOP1Ad0107.pdf
2310,2001,7,CTF (CORRECTIONAL TRAINING FAC),6503,0,6503,3281,198.2,6601,TPOP1Ad0107.pdf
2311,2001,7,CVSP (CHUCKAWALLA VALLEY SP),3620,0,3620,1738,208.3,3664,TPOP1Ad0107.pdf
2312,2001,7,SATF (CA SUBSTANCE ABUSE TREAT FAC),6326,7,6333,3324,190.5,6450,TPOP1Ad0107.pdf
2313,2001,7,"SOL (CA SP, SOLANO)",5751,0,5751,2610,220.3,5852,TPOP1Ad0107.pdf
2314,2001,7,SQ (SAN QUENTIN SP),5549,9,5558,3273,169.8,5533,TPOP1Ad0107.pdf
2315,2001,7,"SAC (CA SP, SACRAMENTO)",3015,0,3015,1728,174.5,3042,TPOP1Ad0107.pdf
2316,2001,7,"LAC (CA SP, LOS ANGELES COUNTY)",4124,0,4124,2200,187.5,4140,TPOP1Ad0107.pdf
2317,2001,7,"COR (CA SP, CORCORAN)",5112,1,5113,3016,169.5,5140,TPOP1Ad0107.pdf
2318,2001,7,CEN (CENTINELA SP),4450,0,4450,2208,201.5,4693,TPOP1Ad0107.pdf
2319,2001,7,CAL (CALIPATRIA SP),4138,0,4138,2208,187.4,4068,TPOP1Ad0107.pdf
2320,2001,7,"CRC (CAL REHAB CTR, MEN)",2697,1268,3965,1814,218.6,3952,TPOP1Ad0107.pdf
2321,2001,7,CMC (CA MEN'S COLONY),6573,1,6574,3884,169.3,6604,TPOP1Ad0107.pdf
2322,2001,7,CMF (CA MEDICAL FAC),3268,0,3268,2315,141.2,3401,TPOP1Ad0107.pdf
2323,2001,7,CIM (CA INSTITUTION FOR MEN),6116,18,6134,3078,199.3,6303,TPOP1Ad0107.pdf
2324,2001,7,CCI (CA CORRECTIONAL INSTITUTION),5544,0,5544,2781,199.4,5741,TPOP1Ad0107.pdf
2325,2001,7,CCC (CA CORRECTIONAL CENTER),5880,0,5880,3682,159.7,5642,TPOP1Ad0107.pdf
2326,2001,7,ASP (AVENAL SP),6852,0,6852,2920,234.7,6978,TPOP1Ad0107.pdf
2327,2001,8,VSP (VALLEY SP),3120,7,3127,1980,157.9,3324,TPOP1Ad0108.pdf
2328,2001,8,SCC (SIERRA CONSERVATION CENTER),329,0,329,320,102.8,320,TPOP1Ad0108.pdf
2329,2001,8,NCWF (NO CAL WOMEN'S FACIL),736,2,738,400,184.5,670,TPOP1Ad0108.pdf
2330,2001,8,CCWF (CENTRAL CA WOMEN'S FAC),3027,3,3030,2004,151.2,3333,TPOP1Ad0108.pdf
2331,2001,8,"CRC (CAL REHAB CTR, WOMEN)",420,353,773,500,154.6,751,TPOP1Ad0108.pdf
2332,2001,8,CIW (CA INSTITUTION FOR WOMEN),1827,8,1835,1026,178.8,1742,TPOP1Ad0108.pdf
2333,2001,8,WSP (WASCO SP),5404,20,5424,2984,181.8,5797,TPOP1Ad0108.pdf
2334,2001,8,SCC (SIERRA CONSERVATION CENTER),6041,0,6041,3606,167.5,5869,TPOP1Ad0108.pdf
2335,2001,8,SVSP (SALINAS VALLEY SP),4141,0,4141,2224,186.2,4156,TPOP1Ad0108.pdf
2336,2001,8,RJD (RJ DONOVAN CORRECTIONAL FAC),4362,0,4362,2200,198.3,4673,TPOP1Ad0108.pdf
2337,2001,8,PVSP (PLEASANT VALLEY SP),4583,0,4583,2208,207.6,4573,TPOP1Ad0108.pdf
2338,2001,8,PBSP (PELICAN BAY SP),3334,0,3334,2280,146.2,3494,TPOP1Ad0108.pdf
2339,2001,8,NKSP (NORTH KERN SP),4508,3,4511,2692,167.6,5089,TPOP1Ad0108.pdf
2340,2001,8,MCSP (MULE CREEK SP),3619,0,3619,1700,212.9,3697,TPOP1Ad0108.pdf
2341,2001,8,ISP (IRONWOOD SP),4553,0,4553,2200,207.0,4445,TPOP1Ad0108.pdf
2342,2001,8,HDSP (HIGH DESERT SP),4213,3,4216,2224,189.6,4310,TPOP1Ad0108.pdf
2343,2001,8,FOL (FOLSOM SP) (MALE),3816,0,3816,2072,184.2,3725,TPOP1Ad0108.pdf
2344,2001,8,DVI (DEUEL VOCATIONAL INSTITUTION),3766,6,3772,1787,211.1,3941,TPOP1Ad0108.pdf
2345,2001,8,CTF (CORRECTIONAL TRAINING FAC),6480,0,6480,3281,197.5,6601,TPOP1Ad0108.pdf
2346,2001,8,CVSP (CHUCKAWALLA VALLEY SP),3623,0,3623,1738,208.5,3664,TPOP1Ad0108.pdf
2347,2001,8,SATF (CA SUBSTANCE ABUSE TREAT FAC),6418,7,6425,3324,193.3,6450,TPOP1Ad0108.pdf
2348,2001,8,"SOL (CA SP, SOLANO)",5779,0,5779,2610,221.4,5852,TPOP1Ad0108.pdf
2349,2001,8,SQ (SAN QUENTIN SP),5450,13,5463,3273,166.9,5533,TPOP1Ad0108.pdf
2350,2001,8,"SAC (CA SP, SACRAMENTO)",3001,0,3001,1728,173.7,3042,TPOP1Ad0108.pdf
2351,2001,8,"LAC (CA SP, LOS ANGELES COUNTY)",4122,0,4122,2200,187.4,4020,TPOP1Ad0108.pdf
2352,2001,8,"COR (CA SP, CORCORAN)",5069,0,5069,3016,168.1,5140,TPOP1Ad0108.pdf
2353,2001,8,CEN (CENTINELA SP),4435,0,4435,2208,200.9,4573,TPOP1Ad0108.pdf
2354,2001,8,CAL (CALIPATRIA SP),4099,0,4099,2208,185.6,4068,TPOP1Ad0108.pdf
2355,2001,8,"CRC (CAL REHAB CTR, MEN)",2762,1224,3986,1814,219.7,3952,TPOP1Ad0108.pdf
2356,2001,8,CMC (CA MEN'S COLONY),6502,1,6503,3884,167.4,6604,TPOP1Ad0108.pdf
2357,2001,8,CMF (CA MEDICAL FAC),3245,0,3245,2315,140.2,3401,TPOP1Ad0108.pdf
2358,2001,8,CIM (CA INSTITUTION FOR MEN),6244,26,6270,3078,203.7,6303,TPOP1Ad0108.pdf
2359,2001,8,CCI (CA CORRECTIONAL INSTITUTION),5433,0,5433,2781,195.4,5600,TPOP1Ad0108.pdf
2360,2001,8,CCC (CA CORRECTIONAL CENTER),5850,0,5850,3682,158.9,5642,TPOP1Ad0108.pdf
2361,2001,8,ASP (AVENAL SP),6908,0,6908,2920,236.6,6978,TPOP1Ad0108.pdf
2362,2001,9,VSP (VALLEY SP),3057,5,3062,1980,154.6,3324,TPOP1Ad0109.pdf
2363,2001,9,SCC (SIERRA CONSERVATION CENTER),325,0,325,320,101.6,320,TPOP1Ad0109.pdf
2364,2001,9,NCWF (NO CAL WOMEN'S FACIL),638,0,638,400,159.5,670,TPOP1Ad0109.pdf
2365,2001,9,CCWF (CENTRAL CA WOMEN'S FAC),3102,2,3104,2004,154.9,3280,TPOP1Ad0109.pdf
2366,2001,9,"CRC (CAL REHAB CTR, WOMEN)",390,338,728,500,145.6,751,TPOP1Ad0109.pdf
2367,2001,9,CIW (CA INSTITUTION FOR WOMEN),1886,9,1895,1026,184.7,1634,TPOP1Ad0109.pdf
2368,2001,9,WSP (WASCO SP),5286,22,5308,2984,177.9,5565,TPOP1Ad0109.pdf
2369,2001,9,SCC (SIERRA CONSERVATION CENTER),5934,0,5934,3606,164.6,5869,TPOP1Ad0109.pdf
2370,2001,9,SVSP (SALINAS VALLEY SP),4096,0,4096,2224,184.2,4156,TPOP1Ad0109.pdf
2371,2001,9,RJD (RJ DONOVAN CORRECTIONAL FAC),4471,0,4471,2200,203.2,4583,TPOP1Ad0109.pdf
2372,2001,9,PVSP (PLEASANT VALLEY SP),4675,0,4675,2208,211.7,4573,TPOP1Ad0109.pdf
2373,2001,9,PBSP (PELICAN BAY SP),3366,0,3366,2280,147.6,3494,TPOP1Ad0109.pdf
2374,2001,9,NKSP (NORTH KERN SP),4535,3,4538,2692,168.6,4857,TPOP1Ad0109.pdf
2375,2001,9,MCSP (MULE CREEK SP),3557,0,3557,1700,209.2,3697,TPOP1Ad0109.pdf
2376,2001,9,ISP (IRONWOOD SP),4567,0,4567,2200,207.6,4445,TPOP1Ad0109.pdf
2377,2001,9,HDSP (HIGH DESERT SP),4175,3,4178,2224,187.9,4310,TPOP1Ad0109.pdf
2378,2001,9,FOL (FOLSOM SP) (MALE),3832,0,3832,2072,184.9,3725,TPOP1Ad0109.pdf
2379,2001,9,DVI (DEUEL VOCATIONAL INSTITUTION),3927,11,3938,1787,220.4,3941,TPOP1Ad0109.pdf
2380,2001,9,CTF (CORRECTIONAL TRAINING FAC),6427,0,6427,3281,195.9,6601,TPOP1Ad0109.pdf
2381,2001,9,CVSP (CHUCKAWALLA VALLEY SP),3627,0,3627,1738,208.7,3664,TPOP1Ad0109.pdf
2382,2001,9,SATF (CA SUBSTANCE ABUSE TREAT FAC),6443,8,6451,3324,194.1,6450,TPOP1Ad0109.pdf
2383,2001,9,"SOL (CA SP, SOLANO)",5816,0,5816,2610,222.8,5852,TPOP1Ad0109.pdf
2384,2001,9,SQ (SAN QUENTIN SP),5513,8,5521,3273,168.7,5383,TPOP1Ad0109.pdf
2385,2001,9,"SAC (CA SP, SACRAMENTO)",2975,0,2975,1728,172.2,3042,TPOP1Ad0109.pdf
2386,2001,9,"LAC (CA SP, LOS ANGELES COUNTY)",4108,0,4108,2200,186.7,4020,TPOP1Ad0109.pdf
2387,2001,9,"COR (CA SP, CORCORAN)",5020,0,5020,3016,166.4,5140,TPOP1Ad0109.pdf
2388,2001,9,CEN (CENTINELA SP),4445,1,4446,2208,201.4,4573,TPOP1Ad0109.pdf
2389,2001,9,CAL (CALIPATRIA SP),3968,0,3968,2208,179.7,4068,TPOP1Ad0109.pdf
2390,2001,9,"CRC (CAL REHAB CTR, MEN)",2796,1214,4010,1814,221.1,3952,TPOP1Ad0109.pdf
2391,2001,9,CMC (CA MEN'S COLONY),6558,1,6559,3884,168.9,6604,TPOP1Ad0109.pdf
2392,2001,9,CMF (CA MEDICAL FAC),3181,0,3181,2315,137.4,3401,TPOP1Ad0109.pdf
2393,2001,9,CIM (CA INSTITUTION FOR MEN),6272,28,6300,3078,204.7,6065,TPOP1Ad0109.pdf
2394,2001,9,CCI (CA CORRECTIONAL INSTITUTION),5197,0,5197,2781,186.9,5475,TPOP1Ad0109.pdf
2395,2001,9,CCC (CA CORRECTIONAL CENTER),5907,0,5907,3682,160.4,5642,TPOP1Ad0109.pdf
2396,2001,9,ASP (AVENAL SP),6801,0,6801,2920,232.9,6978,TPOP1Ad0109.pdf
2397,2001,10,VSP (VALLEY SP),3053,7,3060,1980,154.5,3247,TPOP1Ad0110.pdf
2398,2001,10,SCC (SIERRA CONSERVATION CENTER),318,0,318,320,99.4,320,TPOP1Ad0110.pdf
2399,2001,10,NCWF (NO CAL WOMEN'S FACIL),626,2,628,400,157.0,630,TPOP1Ad0110.pdf
2400,2001,10,CCWF (CENTRAL CA WOMEN'S FAC),3142,0,3142,2004,156.8,3028,TPOP1Ad0110.pdf
2401,2001,10,"CRC (CAL REHAB CTR, WOMEN)",330,329,659,500,131.8,751,TPOP1Ad0110.pdf
2402,2001,10,CIW (CA INSTITUTION FOR WOMEN),1892,6,1898,1026,185.0,1598,TPOP1Ad0110.pdf
2403,2001,10,WSP (WASCO SP),5391,15,5406,2984,181.2,5445,TPOP1Ad0110.pdf
